Name	Alias	Type	Site_primary	
CAL12T	CAL12T_LUNG	Lung NSCLC	lung	2
COLO684	COLO684_ENDOMETRIUM	Endometrial	endometrium	2
DB	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue	2
DMS273	DMS273_LUNG	Lung SCLC	lung	2
EBC1	EBC1_LUNG	Lung NSCLC	lung	2
ES2	ES2_OVARY	Ovarian	ovary	2
G361	G361_SKIN	Melanoma	skin	2
HCC15	HCC15_LUNG	Lung NSCLC	lung	2
KMS18	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue	2
LN18	LN18_CENTRAL_NERVOUS_SYSTEM	GBM	central_nervous_system	2
MDAMB468	MDAMB468_BREAST	Breast	breast	2
MEWO	MEWO_SKIN	Melanoma	skin	2
NCIH1155	NCIH1155_LUNG	Lung NSCLC	lung	2
NCIH1355	NCIH1355_LUNG	Lung NSCLC	lung	2
NCIH2291	NCIH2291_LUNG	Lung NSCLC	lung	2
NCIH460	NCIH460_LUNG	Lung NSCLC	lung	2
NCIH647	NCIH647_LUNG	Lung NSCLC	lung	2
NCIH727	NCIH727_LUNG	Lung NSCLC	lung	2
PC14	PC14_LUNG	Lung NSCLC	lung	2
PC3	PC3_PROSTATE	Prostate	prostate	2
RD	RD_SOFT_TISSUE	Soft Tissue Sarcoma	soft_tissue	2
SUDHL10	SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue	2
