Name	Alias	Type	Site_primary
143B	143B_BONE	Bone sarcoma	bone
ABC1	ABC1_LUNG	Lung NSCLC	lung
CHAGOK1	CHAGOK1_LUNG	Lung NSCLC 	lung
CJM	CJM_SKIN	Melanoma	skin
COLO679	COLO679_SKIN	Melanoma	skin
CORL105	CORL105_LUNG	Lung NSCLC	lung
DMS114	DMS114_LUNG	Lung SCLC	lung
G402	G402_SOFT_TISSUE	Soft Tissue Sarcoma	kidney
HCC1806	HCC1806_BREAST	Breast	breast
HCC366	HCC366_LUNG	Lung NSCLC	lung
HCC95	HCC95_LUNG	Lung NSCLC	lung
HEC251	HEC251_ENDOMETRIUM	Endometrial	endometrium
HEC50B	HEC50B_ENDOMETRIUM	Endometrial	endometrium
HLC1	HLC1_LUNG	Lung NSCLC	lung
HUH1	HUH1_LIVER	Liver	liver
INA6	INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
KARPAS422	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
KMM1	KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
LC1SQSF	LC1SQSF_LUNG	Lung NSCLC	lung
LCLC103H	LCLC103H_LUNG	Lung NSCLC	lung
LCLC97TM1	LCLC97TM1_LUNG	Lung NSCLC	lung
LU99	LU99_LUNG	Lung NSCLC	lung
M059K	M059K_CENTRAL_NERVOUS_SYSTEM	GBM	central_nervous_system
MKN45	MKN45_STOMACH	Gastric	stomach
NCIH1373	NCIH1373_LUNG	Lung NSCLC	lung
NCIH1568	NCIH1568_LUNG	Lung NSCLC	lung
NCIH1581	NCIH1581_LUNG	Lung NSCLC	lung
NCIH1648	NCIH1648_LUNG	Lung NSCLC	lung
NCIH1781	NCIH1781_LUNG	Lung NSCLC	lung
NCIH2009	NCIH2009_LUNG	Lung NSCLC	lung
NCIH2030	NCIH2030_LUNG	Lung NSCLC	lung
NCIH2073	NCIH2073_LUNG	Lung NSCLC	lung
NCIH2126	NCIH2126_LUNG	Lung NSCLC	lung
NCIH358	NCIH358_LUNG	Lung NSCLC	lung
NCIH520	NCIH520_LUNG	Lung NSCLC	lung
OCIMY7	OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
OPM1	OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
PLCPRF5	PLCPRF5_LIVER	Liver	liver
RH30	RH30_SOFT_TISSUE	Soft Tissue Sarcoma	soft_tissue
SKMES1	SKMES1_LUNG	Lung NSCLC	lung
SW1271	SW1271_LUNG	Lung SCLC	lung
SW837	SW837_LARGE_INTESTINE	Colon	large_intestine
T47D	T47D_BREAST	Breast	breast
U2OS	U2OS_BONE	Bone sarcoma	bone
U937	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
