Gene_Name	Num_Chr	txStart	txEnd
40237	4	164449049	165305202
40238	19	8478187	8503897
40239	5	126203407	126366440
40240	2	217122586	217236750
40241	10	94050920	94113721
40242	5	10353828	10435491
40243	2	160569010	160625083
40244	10	45952817	46090354
40245	12	58148900	58153689
40246	17	60778676	60885705
40247	5	16067474	16179897
40421	16	30389457	30394171
40422	2	242254723	242293439
40423	22	42372931	42394223
40424	17	56597616	56618179
40425	22	19701987	19712297
40426	23	118749690	118827333
40427	7	35840627	35944915
40428	5	132086509	132113561
40429	17	75277492	75496676
40430	2	110300374	110371783
40431	4	77870895	77959767
40432	16	4827676	4838399
40434	7	55861237	55930482
40435	1	87328130	87380107
40512	9	117904097	118164923
A1BG	19	58858174	58874120
A1CF	10	52566327	52645435
A2BP1	16	6069132	7763340
A2LD1	13	101182437	101241046
A2M	12	9220304	9268558
A2ML1	12	8975150	9039597
A4GALT	22	43088128	43117286
A4GNT	3	137842560	137851229
AAA1	7	34390035	34911194
AAAS	12	53701241	53715412
AACS	12	125549925	125627872
AACSL	5	178191866	178245436
AADAC	3	151531861	151546276
AADACL2	3	151451704	151475554
AADACL3	1	12776118	12788726
AADACL4	1	12704566	12727096
AADAT	4	170981374	171011372
AAGAB	15	67493369	67547533
AAK1	2	69685127	69870977
AAMP	2	219128853	219134893
AANAT	17	74463651	74466198
AARS	16	70286297	70323412
AARS2	6	44266463	44281063
AARSD1	17	41102545	41132545
AASDH	4	57204459	57253638
AASDHPPT	11	105948292	105969419
AASS	7	121713600	121784344
AATF	17	35306175	35414170
AATK	17	79091100	79139872
ABAT	16	8768444	8878431
ABCA1	9	107543285	107690436
ABCA10	17	67144148	67240956
ABCA11P	4	419224	467998
ABCA12	2	215796267	216003151
ABCA13	7	48211057	48687091
ABCA17P	16	2389291	2476700
ABCA2	9	139901686	139923374
ABCA3	16	2325879	2390747
ABCA4	1	94458396	94586705
ABCA5	17	67240576	67323323
ABCA6	17	67074847	67138015
ABCA7	19	1040102	1065568
ABCA8	17	66863433	66951533
ABCA9	17	66970774	67057136
ABCB1	7	87132948	87342564
ABCB10	1	229652330	229694442
ABCB11	2	169779449	169887833
ABCB4	7	87031361	87105019
ABCB5	7	20655245	20796636
ABCB6	2	220074494	220085174
ABCB7	23	74273107	74376132
ABCB8	7	150725510	150744867
ABCB9	12	123413540	123459752
ABCC1	16	16043434	16236928
ABCC10	6	43395292	43418163
ABCC11	16	48200822	48281479
ABCC12	16	48116884	48189929
ABCC13	21	15646120	15710335
ABCC2	10	101542463	101611662
ABCC3	17	48712218	48769062
ABCC4	13	95672084	95953687
ABCC5	3	183637726	183735727
ABCC6	16	16243423	16317328
ABCC6P1	16	18582570	18609605
ABCC6P2	16	14916289	14918559
ABCC8	11	17414433	17498449
ABCC9	12	21950326	22094336
ABCD1	23	152990323	153010216
ABCD2	12	39945022	40013843
ABCD3	1	94883933	94984218
ABCD4	14	74751980	74769767
ABCE1	4	146019156	146050675
ABCF1	6	30539170	30559307
ABCF2	7	150904923	150924317
ABCF3	3	183903863	183911795
ABCG1	21	43619799	43717352
ABCG2	4	89011417	89152474
ABCG4	11	119019750	119033372
ABCG5	2	44039612	44066004
ABCG8	2	44066103	44105604
ABHD1	2	27346657	27353678
ABHD10	3	111697828	111712208
ABHD11	7	73150427	73153190
ABHD12	20	25275380	25371477
ABHD12B	14	51338878	51371687
ABHD13	13	108870763	108886602
ABHD14A	3	52009042	52015215
ABHD14B	3	52002527	52017425
ABHD15	17	27888311	27894048
ABHD2	15	89631381	89745591
ABHD3	18	19230858	19284766
ABHD4	14	23067147	23081257
ABHD5	3	43732375	43764216
ABHD6	3	58223259	58280459
ABHD8	19	17402941	17414282
ABI1	10	27035527	27149959
ABI2	2	204193003	204296891
ABI3	17	47287589	47300587
ABI3BP	3	100468181	100712334
ABL1	9	133589268	133763060
ABL2	1	179068463	179198819
ABLIM1	10	116190870	116528019
ABLIM2	4	7967038	8160559
ABLIM3	5	148521054	148639999
ABO	9	136130563	136150630
ABP1	7	150526069	150558379
ABR	17	906760	1090616
ABRA	8	107771712	107782472
ABT1	6	26597180	26600275
ABTB1	3	127391781	127399762
ABTB2	11	34172535	34378802
ACAA1	3	38164202	38178733
ACAA2	18	47309875	47340283
ACACA	17	35441928	35766902
ACACB	12	109554400	109706028
ACAD10	12	112123857	112194910
ACAD11	3	132276984	132378975
ACAD8	11	134123434	134135744
ACAD9	3	128598333	128634910
ACADL	2	211052718	211090215
ACADM	1	76190043	76229353
ACADS	12	121163571	121177810
ACADSB	10	124768429	124817805
ACADVL	17	7120444	7128584
ACAN	15	89346674	89418585
ACAP1	17	7239848	7254793
ACAP2	3	194995475	195163817
ACAP3	1	1227764	1244989
ACAT1	11	107992258	108018889
ACAT2	6	160182989	160200085
ACBD3	1	226332382	226374423
ACBD4	17	43209967	43221541
ACBD5	10	27484144	27531068
ACBD6	1	180257353	180472022
ACBD7	10	15057071	15130775
ACCN1	17	31340108	32483825
ACCN2	12	50451487	50477393
ACCN3	7	150745605	150749843
ACCN4	2	220379052	220403488
ACCN5	4	156750881	156787425
ACCS	11	44087475	44105569
ACCSL	11	44069531	44081527
ACD	16	67691416	67694718
ACE	17	61554434	61599203
ACE2	23	15579156	15620192
ACER1	19	6306510	6333640
ACER2	9	19397807	19452500
ACER3	11	76571917	76734850
ACHE	7	100487616	100494539
ACIN1	14	23527776	23564823
ACLY	17	40023181	40075272
ACMSD	2	135596186	135659600
ACN9	7	96745905	96811073
ACO1	9	32384601	32450830
ACO2	22	41865129	41924992
ACOT1	14	74003928	74042357
ACOT11	1	55007930	55100417
ACOT12	5	80625948	80689988
ACOT13	6	24667263	24705293
ACOT2	14	74034324	74042357
ACOT4	14	74058410	74062468
ACOT6	14	74083548	74086590
ACOT7	1	6324333	6453826
ACOT8	20	44470361	44486035
ACOT9	23	23721778	23761407
ACOX1	17	73937589	73975444
ACOX2	3	58490864	58522929
ACOX3	4	8368010	8442452
ACOXL	2	111490150	111875799
ACP1	2	264869	278280
ACP2	11	47260854	47270457
ACP5	19	11685477	11689801
ACP6	1	147119168	147142634
ACPL2	3	140950682	141013485
ACPP	3	132036211	132087144
ACPT	19	51293672	51298481
ACR	22	51176652	51183726
ACRBP	12	6747242	6756580
ACRC	23	70797874	70833433
ACRV1	11	125542230	125550942
ACSBG1	15	78463189	78526899
ACSBG2	19	6135651	6193112
ACSF2	17	48503519	48552200
ACSF3	16	89160254	89222169
ACSL1	4	185676749	185747215
ACSL3	2	223725732	223809354
ACSL4	23	108884564	108976621
ACSL5	10	114133916	114188137
ACSL6	5	131142840	131347870
ACSM1	16	20634559	20709066
ACSM2A	16	20462859	20498989
ACSM2B	16	20548084	20587695
ACSM3	16	20775312	20808478
ACSM4	12	7456928	7480969
ACSM5	16	20420856	20452278
ACSS1	20	24986874	25039616
ACSS2	20	33462766	33515769
ACSS3	12	81471809	81649582
ACTA1	1	229566995	229569843
ACTA2	10	90694832	90751147
ACTB	7	5566783	5570232
ACTBL2	5	56775844	56778636
ACTC1	15	35080297	35087927
ACTG1	17	79476999	79479827
ACTG2	2	74120093	74146779
ACTL6A	3	179280708	179306188
ACTL6B	7	100240728	100254084
ACTL7A	9	111624603	111626035
ACTL7B	9	111616871	111618275
ACTL8	1	18081808	18153556
ACTL9	19	8807751	8809172
ACTN1	14	69340841	69446083
ACTN2	1	236849770	236927558
ACTN3	11	66313866	66330797
ACTN4	19	39138327	39221170
ACTR10	14	58666833	58702351
ACTR1A	10	104238987	104262512
ACTR1B	2	98272402	98280561
ACTR2	2	65454829	65498385
ACTR3	2	114647537	114716167
ACTR3B	7	152456851	152552463
ACTR3C	7	149944302	150000069
ACTR5	20	37377097	37401089
ACTR6	12	100594574	100635625
ACTR8	3	53901156	53916187
ACTRT1	23	127184943	127186382
ACTRT2	1	2938046	2939465
ACVR1	2	158592958	158732374
ACVR1B	12	52345486	52390859
ACVR1C	2	158383280	158485399
ACVR2A	2	148602086	148688392
ACVR2B	3	38495790	38534631
ACVRL1	12	52301202	52317144
ACY1	3	52009042	52023217
ACY3	11	67410027	67418130
ACYP1	14	75519930	75530736
ACYP2	2	54342410	54532433
ADA	20	43248164	43280376
ADAD1	4	123300121	123350946
ADAD2	16	84224723	84230772
