Name	Alias	Type	Site_primary
CAL12T	CAL12T_LUNG	Lung NSCLC	lung
CAL27	CAL27_UPPER_AERODIGESTIVE_TRACT	Head and Neck	upper_aerodigestive_tract
CAL54	CAL54_KIDNEY	Renal Cell Carcinoma	kidney
COLO684	COLO684_ENDOMETRIUM	Endometrial	
DB	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
DMS273	DMS273_LUNG	Lung SCLC	lung
EBC1	EBC1_LUNG	Lung NSCLC	lung
ES2	ES2_OVARY	Ovarian	ovary
G361	G361_SKIN	Melanoma	skin
HCC15	HCC15_LUNG	Lung NSCLC	lung
HCC38	HCC38_BREAST	Breast	breast
HSC3	HSC3_UPPER_AERODIGESTIVE_TRACT	Head and Neck	upper_aerodigestive
KMS18	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
LN18	LN18_CENTRAL_NERVOUS_SYSTEM	GBM	central_nervous_system
MDAMB468	MDAMB468_BREAST	Breast	breast
MEWO	MEWO_SKIN	Melanoma	skin
NCIH1155	NCIH1155_LUNG	Lung NSCLC	lung
NCIH1355	NCIH1355_LUNG	Lung NSCLC	lung
NCIH1944	NCIH1944_LUNG	Lung NSCLC	lung
NCIH2291	NCIH2291_LUNG	Lung NSCLC	lung
NCIH460	NCIH460_LUNG	Lung NSCLC	lung
NCIH522	NCIH522_LUNG	Lung NSCLC	lung
NCIH526	NCIH526_LUNG	Lung SCLC	lung
NCIH647	NCIH647_LUNG	Lung NSCLC	lung
NCIH727	NCIH727_LUNG	Lung NSCLC	lung
NUGC3	NUGC3_STOMACH	Gastric	stomach
PC14	PC14_LUNG	Lung NSCLC	lung
PC3	PC3_PROSTATE	Prostate	prostate
PECAPJ49	PECAPJ49_UPPER_AERODIGESTIVE_TRACT	Head and Neck	upper_aerodigestive
RD	RD_SOFT_TISSUE	Soft Tissue Sarcoma	soft_tissue
SUDHL10	SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
TUHR10TKB	TUHR10TKB_KIDNEY	Renal Cell Carcinoma	kidney
UACC257	UACC257_SKIN	Melanoma	skin
