Name	Alias	Type	Site_primary
A375	A375_SKIN	Melanoma	skin
AMO1	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
BFTC909	BFTC909_KIDNEY	Renal Cell Carcinoma	kidney
CALU3	CALU3_LUNG	Lung NSCLC	lung
CALU6	CALU6_LUNG	Lung NSCLC	lung
CORL279	CORL279_LUNG	Lung SCLC	lung
DU145	DU145_PROSTATE	Prostate	prostate
G401	G401_SOFT_TISSUE	Soft Tissue Sarcoma	kidney
HCC33	HCC33_LUNG	Lung SCLC	lung
HEC59	HEC59_ENDOMETRIUM	Endometrial	endometrium
HSC2	HSC2_UPPER_AERODIGESTIVE_TRACT	Head and Neck	upper_aerodigestive
HT1080	HT1080_SOFT_TISSUE	Soft Tissue Sarcoma	soft_tissue
HUPT3	HUPT3_PANCREAS	Pancreas	pancreas
JHUEM2	JHUEM2_ENDOMETRIUM	Endometrial	endometrium
KATOIII	KATOIII_STOMACH	Gastric	stomach
KPL1	KPL1_BREAST	Breast	breast
LNCAPCLONEFGC	LNCAPCLONEFGC_PROSTATE	Prostate	prostate
LOUNH91	LOUNH91_LUNG	Lung NSCLC	lung
LS180	LS180_LARGE_INTESTINE	Colon	
LU65	LU65_LUNG	Lung NSCLC	lung
MDAMB231	MDAMB231_BREAST	Breast	breast
MDAMB436	MDAMB436_BREAST	Breast	breast
MELHO	MELHO_SKIN	Melanoma	skin
NCIH1623	NCIH1623_LUNG	Lung NSCLC	lung
NCIH1666	NCIH1666_LUNG	Lung NSCLC	lung
NCIH1693	NCIH1693_LUNG	Lung NSCLC	lung
NCIH1915	NCIH1915_LUNG	Lung NSCLC	lung
NCIH2087	NCIH2087_LUNG	Lung NSCLC	lung
NCIH211	NCIH211_LUNG	Lung SCLC	lung
NCIH2170	NCIH2170_LUNG	Lung NSCLC	lung
NCIH2405	NCIH2405_LUNG	Lung NSCLC	lung
NCIH3255	NCIH3255_LUNG	Lung NSCLC	lung
NCIH650	NCIH650_LUNG	Lung NSCLC	lung
NCIH854	NCIH854_LUNG	Lung NSCLC	lung
OSRC2	OSRC2_KIDNEY	Renal Cell Carcinoma	kidney
PECAPJ34CLONEC12	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	Head and Neck	upper_aerodigestive
RERFLCAI	RERFLCAI_LUNG	Lung NSCLC	lung
RH41	RH41_SOFT_TISSUE	Soft Tissue Sarcoma	soft_tissue
SUDHL4	SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
SW1573	SW1573_LUNG	Lung NSCLC	lung
SW620	SW620_LARGE_INTESTINE	Colon	large_intestine
TUHR4TKB	TUHR4TKB_KIDNEY	Renal Cell Carcinoma	kidney
YD38	YD38_UPPER_AERODIGESTIVE_TRACT	Head and Neck	
ZR751	ZR751_BREAST	Breast	carcinoma
