Name	Alias	Type	Site_primary
143B	143B_BONE	Bone sarcoma	bone
769P	769P_KIDNEY	Renal Cell Carcinoma	kidney
A3KAW	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
ABC1	ABC1_LUNG	Lung NSCLC	lung
C8166	C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Leukemia	haematopoietic_and_lymphoid_tissue
CAL12T	CAL12T_LUNG	Lung NSCLC	lung
CAL27	CAL27_UPPER_AERODIGESTIVE_TRACT	Head and Neck	upper_aerodigestive_tract
CAL54	CAL54_KIDNEY	Renal Cell Carcinoma	kidney
CHAGOK1	CHAGOK1_LUNG	Lung NSCLC 	lung
CJM	CJM_SKIN	Melanoma	skin
COLO679	COLO679_SKIN	Melanoma	skin
COLO684	COLO684_ENDOMETRIUM	Endometrial	
CORL105	CORL105_LUNG	Lung NSCLC	lung
DB	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
DMS114	DMS114_LUNG	Lung SCLC	lung
DMS273	DMS273_LUNG	Lung SCLC	lung
DND41	DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Leukemia	haematopoietic_and_lymphoid_tissue
EBC1	EBC1_LUNG	Lung NSCLC	lung
EKVX	EKVX_LUNG	Lung NSCLC	lung
ES2	ES2_OVARY	Ovarian	ovary
G361	G361_SKIN	Melanoma	skin
G402	G402_SOFT_TISSUE	Soft Tissue Sarcoma	kidney
HCC15	HCC15_LUNG	Lung NSCLC	lung
HCC1500	HCC1500_BREAST	Breast	breast
HCC1806	HCC1806_BREAST	Breast	breast
HCC366	HCC366_LUNG	Lung NSCLC	lung
HCC38	HCC38_BREAST	Breast	breast
HCC95	HCC95_LUNG	Lung NSCLC	lung
HEC251	HEC251_ENDOMETRIUM	Endometrial	endometrium
HEC50B	HEC50B_ENDOMETRIUM	Endometrial	endometrium
HEKTE	HEKTE_KIDNEY	Renal Cell Carcinoma	kidney
HEP3B217	HEP3B217_LIVER	Liver	liver
HLC1	HLC1_LUNG	Lung NSCLC	lung
HSC3	HSC3_UPPER_AERODIGESTIVE_TRACT	Head and Neck	upper_aerodigestive
HUH1	HUH1_LIVER	Liver	liver
IGR1	IGR1_SKIN	Melanoma	skin
INA6	INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
JHH5	JHH5_LIVER	Liver	liver
JHOS2	JHOS2_OVARY	Ovarian	ovary
KARPAS422	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
KMM1	KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
KMS18	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
KYSE70	KYSE70_OESOPHAGUS	Esophageal	oesophagus
LC1SQSF	LC1SQSF_LUNG	Lung NSCLC	lung
LCLC103H	LCLC103H_LUNG	Lung NSCLC	lung
LCLC97TM1	LCLC97TM1_LUNG	Lung NSCLC	lung
LN18	LN18_CENTRAL_NERVOUS_SYSTEM	GBM	central_nervous_system
LU99	LU99_LUNG	Lung NSCLC	lung
M059K	M059K_CENTRAL_NERVOUS_SYSTEM	GBM	central_nervous_system
MDAMB157	MDAMB157_BREAST	Breast	breast
MDAMB468	MDAMB468_BREAST	Breast	breast
MEWO	MEWO_SKIN	Melanoma	skin
MFE280	MFE280_ENDOMETRIUM	Endometrial	endometrium
MKN45	MKN45_STOMACH	Gastric	stomach
NCIH1155	NCIH1155_LUNG	Lung NSCLC	lung
NCIH1355	NCIH1355_LUNG	Lung NSCLC	lung
NCIH1373	NCIH1373_LUNG	Lung NSCLC	lung
NCIH1395	NCIH1395_LUNG	Lung NSCLC	lung
NCIH146	NCIH146_LUNG	Lung SCLC	lung
NCIH1568	NCIH1568_LUNG	Lung NSCLC	lung
NCIH1581	NCIH1581_LUNG	Lung NSCLC	lung
NCIH1648	NCIH1648_LUNG	Lung NSCLC	lung
NCIH1703	NCIH1703_LUNG	Lung NSCLC	lung
NCIH1781	NCIH1781_LUNG	Lung NSCLC	lung
NCIH1836	NCIH1836_LUNG	Lung SCLC	lung
NCIH1944	NCIH1944_LUNG	Lung NSCLC	lung
NCIH2009	NCIH2009_LUNG	Lung NSCLC	lung
NCIH2030	NCIH2030_LUNG	Lung NSCLC	lung
